wavelength,blue,green,red
400.0,0.010963,0.0027522,0.0018383
410.0,0.047664,0.0063568,0.0034546
420.0,0.25927,0.025923,0.0065563
430.0,0.6278,0.055392,0.0064237
440.0,0.69721,0.079072,0.003663
450.0,0.78211,0.098383,0.0032176
460.0,0.8035,0.13411,0.0045901
470.0,0.78122,0.28424,0.0075219
480.0,0.75824,0.53216,0.015409
490.0,0.64609,0.67504,0.022585
500.0,0.513,0.78346,0.033511
510.0,0.38666,0.91032,0.053847
520.0,0.22351,0.89359,0.066262
530.0,0.15669,1.0,0.082616
540.0,0.10477,0.88185,0.10166
550.0,0.078029,0.85526,0.15313
560.0,0.050767,0.76181,0.2023
570.0,0.040953,0.71016,0.29541
580.0,0.034064,0.56299,0.4398
590.0,0.027857,0.44008,0.53074
600.0,0.019411,0.27856,0.51692
610.0,0.013821,0.16213,0.50521
620.0,0.0088981,0.078769,0.38884
630.0,0.0081423,0.052859,0.34276
640.0,0.007593,0.035122,0.26434
650.0,0.0084223,0.026057,0.22089
660.0,0.008274,0.018983,0.1637
670.0,0.0083911,0.01922,0.13044
680.0,0.0053867,0.014806,0.072591
690.0,0.0018156,0.005949,0.021389
700.0,0.00036101,0.0013347,0.003813
710.0,0.00011979,0.00034954,0.00089247
720.0,7.65e-05,0.00012156,0.00023267
